epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.536,1.29864,1.71194,1.19565,0.78023,0.67198,0.73831,0.4572,1.32643,3.80317,1.27865,0.00066365,0.00066365,0.00066365
2,790.621,1.29137,0.82183,1.17334,0.85607,0.76401,0.82084,0.53066,1.29228,1.23501,1.21889,0.00127764,0.00127764,0.00127764
3,1222.42,1.27272,0.76487,1.16932,0.92214,0.83094,0.88259,0.57055,1.26707,0.94263,1.18438,0.00183882,0.00183882,0.00183882
4,1631.3,1.249,0.74293,1.15493,0.93007,0.75672,0.8458,0.54379,1.31594,0.95309,1.23236,0.0017624,0.0017624,0.0017624
5,2008.52,1.21997,0.70184,1.14133,0.92046,0.88573,0.92627,0.59895,1.2256,0.68834,1.16441,0.0016832,0.0016832,0.0016832
